Team,Round,Pick Number,Original Team,Salary,
DAL,1,1,,1,1
CAL,1,2,,1,2
TOR,1,3,,1,3
SEA,1,4,,1,4
UTAH,1,5,,1,5
ATL,1,6,,1,6
NYI,1,7,,1,7
KCS,1,8,,1,8
DET,1,9,,1,9
MIN,1,10,,1,10
VGK,1,11,,1,11
VAN,1,12,,1,12
NJ,1,13,,1,13
PIT,1,14,,1,14
FLA,1,15,,1,15
NYR,1,16,,1,16
CBJ,1,17,,1,17
BOS,1,18,,1,18
EDM,1,19,,1,19
BUF,1,20,,1,20
COL,1,21,,1,21
NASH,1,22,,1,22
OTT,1,23,,1,23
CHI,1,24,,1,24
CAL,1,25,CALG,1,25
MONT,1,26,,1,26
SJ,1,27,,1,27
PHI,1,28,,1,28
CAL,2,29,,1,1
TOR,2,30,,1,2
SEA,2,31,,1,3
UTAH,2,32,,1,4
ATL,2,33,,1,5
NYI,2,34,,1,6
KCS,2,35,,1,7
DET,2,36,,1,8
DAL,2,37,,1,9
MIN,2,38,,1,10
VGK,2,39,,1,11
VAN,2,40,,1,12
NJ,2,41,,1,13
PIT,2,42,,1,14
FLA,2,43,,1,15
NYR,2,44,,1,16
CBJ,2,45,,1,17
BOS,2,46,,1,18
EDM,2,47,,1,19
BUF,2,48,,1,20
COL,2,49,,1,21
NASH,2,50,,1,22
OTT,2,51,,1,23
CHI,2,52,,1,24
CALG,2,53,,1,25
MONT,2,54,,1,26
SJ,2,55,,1,27
PHI,2,56,,1,28
CAL,3,57,,1,1
TOR,3,58,,1,2
SEA,3,59,,1,3
UTAH,3,60,,1,4
ATL,3,61,,1,5
NYI,3,62,,1,6
KCS,3,63,,1,7
DET,3,64,,1,8
DAL,3,65,,1,9
MIN,3,66,,1,10
VGK,3,67,,1,11
VAN,3,68,,1,12
NJ,3,69,,1,13
PIT,3,70,,1,14
FLA,3,71,,1,15
NYR,3,72,,1,16
CBJ,3,73,,1,17
BOS,3,74,,1,18
EDM,3,75,,1,19
BUF,3,76,,1,20
COL,3,77,,1,21
NASH,3,78,,1,22
OTT,3,79,,1,23
CHI,3,80,,1,24
CALG,3,81,,1,25
MONT,3,82,,1,26
SJ,3,83,,1,27
PHI,3,84,,1,28
CAL,4,85,,1,1
TOR,4,86,,1,2
SEA,4,87,,1,3
UTAH,4,88,,1,4
ATL,4,89,,1,5
NYI,4,90,,1,6
KCS,4,91,,1,7
DET,4,92,,1,8
DAL,4,93,,1,9
MIN,4,94,,1,10
VGK,4,95,,1,11
VAN,4,96,,1,12
NJ,4,97,,1,13
PIT,4,98,,1,14
FLA,4,99,,1,15
NYR,4,100,,1,16
CBJ,4,101,,1,17
BOS,4,102,,1,18
EDM,4,103,,1,19
BUF,4,104,,1,20
COL,4,105,,1,21
NASH,4,106,,1,22
OTT,4,107,,1,23
CHI,4,108,,1,24
CALG,4,109,,1,25
MONT,4,110,,1,26
SJ,4,111,,1,27
PHI,4,112,,1,28
CAL,5,113,,1,1
TOR,5,114,,1,2
SEA,5,115,,1,3
UTAH,5,116,,1,4
ATL,5,117,,1,5
NYI,5,118,,1,6
KCS,5,119,,1,7
DET,5,120,,1,8
DAL,5,121,,1,9
MIN,5,122,,1,10
VGK,5,123,,1,11
VAN,5,124,,1,12
NJ,5,125,,1,13
PIT,5,126,,1,14
FLA,5,127,,1,15
NYR,5,128,,1,16
CBJ,5,129,,1,17
BOS,5,130,,1,18
EDM,5,131,,1,19
BUF,5,132,,1,20
COL,5,133,,1,21
NASH,5,134,,1,22
OTT,5,135,,1,23
CHI,5,136,,1,24
CALG,5,137,,1,25
MONT,5,138,,1,26
SJ,5,139,,1,27
PHI,5,140,,1,28
CAL,6,141,,1,1
TOR,6,142,,1,2
SEA,6,143,,1,3
UTAH,6,144,,1,4
ATL,6,145,,1,5
NYI,6,146,,1,6
KCS,6,147,,1,7
DET,6,148,,1,8
DAL,6,149,,1,9
MIN,6,150,,1,10
VGK,6,151,,1,11
VAN,6,152,,1,12
NJ,6,153,,1,13
PIT,6,154,,1,14
FLA,6,155,,1,15
NYR,6,156,,1,16
CBJ,6,157,,1,17
BOS,6,158,,1,18
EDM,6,159,,1,19
BUF,6,160,,1,20
COL,6,161,,1,21
NASH,6,162,,1,22
OTT,6,163,,1,23
CHI,6,164,,1,24
CALG,6,165,,1,25
MONT,6,166,,1,26
SJ,6,167,,1,27
PHI,6,168,,1,28
CAL,7,169,,1,1
TOR,7,170,,1,2
SEA,7,171,,1,3
UTAH,7,172,,1,4
ATL,7,173,,1,5
NYI,7,174,,1,6
KCS,7,175,,1,7
DET,7,176,,1,8
DAL,7,177,,1,9
MIN,7,178,,1,10
VGK,7,179,,1,11
VAN,7,180,,1,12
NJ,7,181,,1,13
PIT,7,182,,1,14
FLA,7,183,,1,15
NYR,7,184,,1,16
CBJ,7,185,,1,17
BOS,7,186,,1,18
EDM,7,187,,1,19
BUF,7,188,,1,20
COL,7,189,,1,21
NASH,7,190,,1,22
OTT,7,191,,1,23
CHI,7,192,,1,24
CALG,7,193,,1,25
MONT,7,194,,1,26
SJ,7,195,,1,27
PHI,7,196,,1,28
