 (22 games),,,,,,,Week Conference Play Begins:,,5,,,,,,,,,,,,
Hockey East,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,,,Week,Home,Away
1,Team1,Team1,,1,5B,Team10,@ Team5,Team6,@ Team7,Team2,@ Team3,Team4,@ Team11,OPEN,@ Team1,Team8,,1,5B,Team1,Team10
2,Team2,Team2,,2,6A,OPEN,@ Team8,@ Team10,Team5,@ Team4,Team11,Team9,Team2,@ Team7,Team3,@ Team6,,1,5B,Team5,Team2
3,Team3,Team3,,3,6B,@ Team5,Team3,@ Team2,OPEN,Team1,@ Team9,@ Team8,Team7,Team6,Team11,@ Team10,,1,5B,Team3,Team6
4,Team4,Team4,,4,7A,Team8,OPEN,@ Team5,@ Team11,Team3,Team7,@ Team6,@ Team1,Team10,@ Team9,Team4,,1,5B,Team7,Team4
5,Team5,Team5,,5,7B,@ Team3,Team9,Team1,Team8,@ Team7,Team10,Team5,@ Team4,@ Team2,@ Team6,OPEN,,1,5B,Team11,Team8
6,Team6,Team6,,6,8A,Team6,Team7,Team9,@ Team10,@ Team11,@ Team1,@ Team2,OPEN,@ Team3,Team4,Team5,,2,6A,Team8,Team2
7,Team7,Team7,,7,8B,@ Team9,@ Team4,OPEN,Team2,@ Team10,@ Team8,Team11,Team6,Team1,Team5,@ Team7,,2,6A,Team10,Team3
8,Team8,Team8,,8,9A,@ Team4,Team10,@ Team11,Team1,@ Team6,Team5,OPEN,Team9,@ Team8,@ Team2,Team3,,2,6A,Team4,Team5
9,Team9,Team9,,9,9B,Team11,@ Team6,Team7,@ Team9,OPEN,Team2,@ Team3,@ Team10,Team4,Team8,@ Team1,,2,6A,Team6,Team11
10,Team10,Team10,,10,10A,@ Team2,Team1,@ Team4,Team3,Team8,OPEN,Team10,@ Team5,Team11,@ Team7,@ Team9,,2,6A,Team7,Team9
11,Team11,Team11,,11,10B,Team7,@ Team3,Team2,@ Team8,@ Team9,@ Team11,@ Team1,Team4,Team5,OPEN,Team6,,3,6B,Team5,Team1
,,,,12,11A,Team4,@ Team10,Team8,@ Team1,Team7,Team9,@ Team5,@ Team3,@ Team6,Team2,OPEN,,3,6B,Team2,Team3
,,,,13,11B,@ Team8,OPEN,@ Team7,Team9,Team6,@ Team5,Team3,Team1,@ Team4,@ Team11,Team10,,3,6B,Team9,Team6
,,,,14,12A,Team9,Team4,Team10,@ Team2,OPEN,@ Team7,Team6,Team11,@ Team1,@ Team3,@ Team8,,3,6B,Team8,Team7
,,,,15,12B,OPEN,Team8,@ Team6,OPEN,Team11,Team3,@ Team10,@ Team2,OPEN,Team7,@ Team5,,3,6B,Team10,Team11
,,,,16,13A,@ Team6,@ Team11,@ Team9,Team7,@ Team8,Team1,@ Team4,Team5,Team3,OPEN,Team2,,4,7A,Team1,Team8
,,,,17,13B,Team2,@ Team1,Team5,Team10,@ Team3,OPEN,Team8,@ Team7,@ Team11,@ Team4,Team9,,4,7A,Team5,Team3
,,,,18,14A,@ Team10,Team6,Team11,@ Team5,Team4,@ Team2,OPEN,@ Team9,Team8,Team1,@ Team3,,4,7A,Team11,Team4
,,,,19,14B,@ Team11,Team5,OPEN,@ Team6,@ Team2,Team4,@ Team9,Team10,Team7,@ Team8,Team1,,4,7A,Team6,Team7
,,,,20,15A,Team3,@ Team7,@ Team1,Team11,Team9,@ Team10,Team2,OPEN,@ Team5,Team6,@ Team4,,4,7A,Team9,Team10
,,,,21,15B,Team10,@ Team5,Team6,@ Team7,Team2,@ Team3,Team4,@ Team11,OPEN,@ Team1,Team8,,5,7B,Team3,Team1
,,,,22,16A,OPEN,@ Team8,@ Team10,Team5,@ Team4,Team11,Team9,Team2,@ Team7,Team3,@ Team6,,5,7B,Team2,Team9
,,,,23,16B,@ Team5,Team3,@ Team2,OPEN,Team1,@ Team9,@ Team8,Team7,Team6,Team11,@ Team10,,5,7B,Team4,Team8
,,,,24,17A,Team8,OPEN,@ Team5,@ Team11,Team3,Team7,@ Team6,@ Team1,Team10,@ Team9,Team4,,5,7B,Team7,Team5
