1 game against every team + 3 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,
ECAC,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,,,,Week,Home,Away
1,Team1,Team1,,1,7A,Team12,Team11,Team10,Team9,Team8,Team7,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team1,,,1,7A,Team1,Team12
2,Team2,Team2,,2,7B,@ Team11,@ Team9,@ Team8,@ Team7,@ Team6,Team5,Team4,Team3,Team2,Team12,Team1,@ Team10,,,1,7A,Team2,Team11
3,Team3,Team3,,3,8A,Team10,Team7,Team6,Team5,@ Team4,@ Team3,@ Team2,@ Team12,@ Team11,@ Team1,Team9,Team8,,,1,7A,Team3,Team10
4,Team4,Team4,,4,8B,@ Team9,@ Team5,@ Team4,Team3,Team2,Team12,Team11,Team10,Team1,@ Team8,@ Team7,@ Team6,,,1,7A,Team4,Team9
5,Team5,Team5,,5,9A,Team8,Team3,@ Team2,@ Team12,@ Team11,@ Team10,@ Team9,@ Team1,Team7,Team6,Team5,Team4,,,1,7A,Team5,Team8
6,Team6,Team6,,6,9B,@ Team7,Team12,Team11,Team10,Team9,Team8,Team1,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,,,1,7A,Team6,Team7
7,Team7,Team7,,7,10A,Team6,@ Team10,@ Team9,@ Team8,@ Team7,@ Team1,Team5,Team4,Team3,Team2,Team12,@ Team11,,,2,7B,Team11,Team1
8,Team8,Team8,,8,10B,@ Team5,Team8,Team7,Team6,Team1,@ Team4,@ Team3,@ Team2,@ Team12,@ Team11,Team10,Team9,,,2,7B,Team9,Team2
9,Team9,Team9,,9,11A,Team4,@ Team6,@ Team5,@ Team1,Team3,Team2,Team12,Team11,Team10,@ Team9,@ Team8,@ Team7,,,2,7B,Team8,Team3
10,Team10,Team10,,10,11B,@ Team3,Team4,Team1,@ Team2,@ Team12,@ Team11,@ Team10,@ Team9,Team8,Team7,Team6,Team5,,,2,7B,Team7,Team4
11,Team11,Team11,,11,12A,Team2,@ Team1,Team12,Team11,Team10,Team9,Team8,@ Team7,@ Team6,@ Team5,@ Team4,@ Team3,,,2,7B,Team6,Team5
