H&A vs every team (14 games),,,,,,,Week Conference Play Begins:,,6,,,,,,,,,
CCHA,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,,,Week,Home,Away
1,Team1,Team1,,1,6A,Team8,Team7,Team6,Team5,@ Team4,@ Team3,@ Team2,@ Team1,,1,6A,Team1,Team8
2,Team2,Team2,,2,6B,Team2,@ Team1,@ Team7,@ Team6,@ Team8,Team4,Team3,Team5,,1,6A,Team2,Team7
3,Team3,Team3,,3,7A,@ Team3,Team8,Team1,Team7,Team6,@ Team5,@ Team4,@ Team2,,1,6A,Team3,Team6
4,Team4,Team4,,4,7B,Team4,Team3,@ Team2,@ Team1,@ Team7,@ Team8,Team5,Team6,,1,6A,Team4,Team5
5,Team5,Team5,,5,8A,@ Team5,@ Team4,Team8,Team2,Team1,Team7,@ Team6,@ Team3,,2,6B,Team1,Team2
6,Team6,Team6,,6,8B,Team6,Team5,Team4,@ Team3,@ Team2,@ Team1,@ Team8,Team7,,2,6B,Team7,Team3
7,Team7,Team7,,7,9A,@ Team7,@ Team6,@ Team5,Team8,Team3,Team2,Team1,@ Team4,,2,6B,Team6,Team4
8,Team8,Team8,,8,9B,@ Team8,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,Team1,,2,6B,Team8,Team5
,,,,9,10A,@ Team2,Team1,Team7,Team6,Team8,@ Team4,@ Team3,@ Team5,,3,7A,Team3,Team1
,,,,10,10B,Team3,@ Team8,@ Team1,@ Team7,@ Team6,Team5,Team4,Team2,,3,7A,Team2,Team8
,,,,11,11A,@ Team4,@ Team3,Team2,Team1,Team7,Team8,@ Team5,@ Team6,,3,7A,Team4,Team7
,,,,12,11B,Team5,Team4,@ Team8,@ Team2,@ Team1,@ Team7,Team6,Team3,,3,7A,Team5,Team6
,,,,13,12A,@ Team6,@ Team5,@ Team4,Team3,Team2,Team1,Team8,@ Team7,,4,7B,Team1,Team4
,,,,14,12B,Team7,Team6,Team5,@ Team8,@ Team3,@ Team2,@ Team1,Team4,,4,7B,Team2,Team3
,,,,15,13A,Team8,Team7,Team6,Team5,@ Team4,@ Team3,@ Team2,@ Team1,,4,7B,Team7,Team5
