H&A vs every team (16 games),,,,,,,Week Conference Play Begins:,,4,,,,,,,,,,
Big Ten,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,,,Week,Home,Away
1,Team1,Team1,,1,4A,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,OPEN,,1,4A,,
2,Team2,Team2,,2,4B,OPEN,Team9,Team8,Team7,Team6,@ Team5,@ Team4,@ Team3,@ Team2,,1,4A,,
3,Team3,Team3,,3,5A,@ Team9,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,OPEN,Team1,,1,4A,,
4,Team4,Team4,,4,5B,Team8,Team5,Team4,@ Team3,@ Team2,OPEN,@ Team9,@ Team1,Team7,,1,4A,,
5,Team5,Team5,,5,6A,@ Team7,@ Team3,Team2,OPEN,Team9,Team8,Team1,@ Team6,@ Team5,,2,4B,Team2,Team9
6,Team6,Team6,,6,6B,Team6,OPEN,@ Team9,@ Team8,@ Team7,@ Team1,Team5,Team4,Team3,,2,4B,Team3,Team8
7,Team7,Team7,,7,7A,@ Team5,Team8,Team7,Team6,Team1,@ Team4,@ Team3,@ Team2,OPEN,,2,4B,Team4,Team7
8,Team8,Team8,,8,7B,Team4,@ Team6,@ Team5,@ Team1,Team3,Team2,OPEN,Team9,@ Team8,,2,4B,Team5,Team6
9,Team9,Team9,,9,8A,@ Team3,Team4,Team1,@ Team2,OPEN,@ Team9,@ Team8,Team7,Team6,,3,5A,Team9,Team1
,,,,10,8B,Team2,@ Team1,OPEN,Team9,Team8,Team7,@ Team6,@ Team5,@ Team4,,3,5A,Team7,Team2
,,,,11,9A,OPEN,@ Team9,@ Team8,@ Team7,@ Team6,Team5,Team4,Team3,Team2,,3,5A,Team6,Team3
,,,,12,9B,Team9,Team7,Team6,Team5,@ Team4,@ Team3,@ Team2,OPEN,@ Team1,,3,5A,Team5,Team4
,,,,13,10A,@ Team8,@ Team5,@ Team4,Team3,Team2,OPEN,Team9,Team1,@ Team7,,4,5B,Team1,Team8
,,,,14,10B,Team7,Team3,@ Team2,OPEN,@ Team9,@ Team8,@ Team1,Team6,Team5,,4,5B,Team9,Team7
